timestamp,eventtext,operator
2015-05-31 15:07:04.884262,1,C
2015-05-31 15:07:05.543374,+,C
2015-05-31 15:07:06.362207,2,C
2015-05-31 15:07:06.972415,+,C
2015-05-31 15:07:07.796335,3,C
2015-05-31 15:07:08.281315,+,C
2015-05-31 15:07:08.844346,4,C
2015-05-31 15:07:09.457352,+,C
2015-05-31 15:07:10.100081,5,C
2015-05-31 15:07:10.634221,+,C
2015-05-31 15:07:11.155248,6,C
2015-05-31 15:07:11.734220,+,C
2015-05-31 15:07:12.367134,7,C
2015-05-31 15:07:12.894248,+,C
2015-05-31 15:07:13.416316,8,C
2015-05-31 15:07:13.934180,+,C
2015-05-31 15:07:14.521311,9,C
2015-05-31 15:07:15.119308,+,C
2015-05-31 15:07:16.044205,1,C
2015-05-31 15:07:16.621111,0,C
2015-05-31 15:07:17.180392,+,C
2015-05-31 15:07:17.922275,1,C
2015-05-31 15:07:18.243296,1,C
2015-05-31 15:07:18.900211,+,C
2015-05-31 15:07:19.623369,1,C
2015-05-31 15:07:20.296348,2,C
2015-05-31 15:07:20.953217,+,C
2015-05-31 15:07:21.611382,1,C
2015-05-31 15:07:22.204239,3,C
2015-05-31 15:07:22.689913,+,C
2015-05-31 15:07:23.454378,1,C
2015-05-31 15:07:23.976145,4,C
2015-05-31 15:07:24.567209,+,C
2015-05-31 15:07:25.415220,1,C
2015-05-31 15:07:25.968472,5,C
2015-05-31 15:07:26.833329,+,C
2015-05-31 15:07:28.072399,1,C
2015-05-31 15:07:28.570240,6,C
2015-05-31 15:07:29.004195,+,C
2015-05-31 15:07:29.506399,1,C
2015-05-31 15:07:30.254225,7,C
2015-05-31 15:07:30.783142,+,C
2015-05-31 15:07:31.514330,1,C
2015-05-31 15:07:32.038350,8,C
2015-05-31 15:07:32.590223,+,C
2015-05-31 15:07:33.408365,1,C
2015-05-31 15:07:34.174262,9,C
2015-05-31 15:07:34.767254,+,C
2015-05-31 15:07:35.916583,2,C
2015-05-31 15:07:36.418232,0,C
2015-05-31 15:07:36.989383,+,C
